OBJECTID,landcoversEastClassifications,thumbUrl,DownloadThumbPicture,EastOriginalUrl,DownloadOriginalPicture
61,"10% MUC 93 [Urban, Roads and Parking]; 60% MUC 92 [Urban, Commercial Property]; 10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 10% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/13/1704629/thumb.jpg,golc_thumb_2020_06_13_1704629,https://data.globe.gov/system/photos/2020/06/13/1704629/original.jpg,golc_2020_06_13_1704629
62,null,https://data.globe.gov/system/photos/2020/06/21/1704645/thumb.jpg,golc_thumb_2020_06_21_1704645,https://data.globe.gov/system/photos/2020/06/21/1704645/original.jpg,golc_2020_06_21_1704645
63,null,https://data.globe.gov/system/photos/2020/06/21/1704657/thumb.jpg,golc_thumb_2020_06_21_1704657,https://data.globe.gov/system/photos/2020/06/21/1704657/original.jpg,golc_2020_06_21_1704657
64,null,https://data.globe.gov/system/photos/2020/06/21/1704663/thumb.jpg,golc_thumb_2020_06_21_1704663,https://data.globe.gov/system/photos/2020/06/21/1704663/original.jpg,golc_2020_06_21_1704663
65,null,https://data.globe.gov/system/photos/2020/06/19/1704674/thumb.jpg,golc_thumb_2020_06_19_1704674,https://data.globe.gov/system/photos/2020/06/19/1704674/original.jpg,golc_2020_06_19_1704674
66,null,https://data.globe.gov/system/photos/2020/06/19/1704680/thumb.jpg,golc_thumb_2020_06_19_1704680,https://data.globe.gov/system/photos/2020/06/19/1704680/original.jpg,golc_2020_06_19_1704680
67,null,https://data.globe.gov/system/photos/2020/06/20/1704687/thumb.jpg,golc_thumb_2020_06_20_1704687,https://data.globe.gov/system/photos/2020/06/20/1704687/original.jpg,golc_2020_06_20_1704687
68,null,https://data.globe.gov/system/photos/2020/06/21/1704723/thumb.jpg,golc_thumb_2020_06_21_1704723,https://data.globe.gov/system/photos/2020/06/21/1704723/original.jpg,golc_2020_06_21_1704723
69,null,https://data.globe.gov/system/photos/2020/06/21/1704729/thumb.jpg,golc_thumb_2020_06_21_1704729,https://data.globe.gov/system/photos/2020/06/21/1704729/original.jpg,golc_2020_06_21_1704729
70,null,https://data.globe.gov/system/photos/2020/06/21/1704753/thumb.jpg,golc_thumb_2020_06_21_1704753,https://data.globe.gov/system/photos/2020/06/21/1704753/original.jpg,golc_2020_06_21_1704753
71,null,https://data.globe.gov/system/photos/2020/06/21/1704747/thumb.jpg,golc_thumb_2020_06_21_1704747,https://data.globe.gov/system/photos/2020/06/21/1704747/original.jpg,golc_2020_06_21_1704747
72,null,https://data.globe.gov/system/photos/2020/06/21/1704759/thumb.jpg,golc_thumb_2020_06_21_1704759,https://data.globe.gov/system/photos/2020/06/21/1704759/original.jpg,golc_2020_06_21_1704759
