OBJECTID,landcoversWestClassifications,thumbUrl,DownloadThumbPicture,WestOriginalUrl,DownloadOriginalPicture
19,"80% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 1 [Trees, Loosely Spaced, Not Sure Which]",https://data.globe.gov/system/photos/2020/06/20/1701017/thumb.jpg,golc_thumb_2020_06_20_1701017,https://data.globe.gov/system/photos/2020/06/20/1701017/original.jpg,golc_2020_06_20_1701017
20,null,https://data.globe.gov/system/photos/2020/06/20/1701523/thumb.jpg,golc_thumb_2020_06_20_1701523,https://data.globe.gov/system/photos/2020/06/20/1701523/original.jpg,golc_2020_06_20_1701523
21,null,https://data.globe.gov/system/photos/2020/06/20/1701535/thumb.jpg,golc_thumb_2020_06_20_1701535,https://data.globe.gov/system/photos/2020/06/20/1701535/original.jpg,golc_2020_06_20_1701535
22,null,https://data.globe.gov/system/photos/2020/06/20/1701541/thumb.jpg,golc_thumb_2020_06_20_1701541,https://data.globe.gov/system/photos/2020/06/20/1701541/original.jpg,golc_2020_06_20_1701541
23,null,https://data.globe.gov/system/photos/2020/06/20/1701547/thumb.jpg,golc_thumb_2020_06_20_1701547,https://data.globe.gov/system/photos/2020/06/20/1701547/original.jpg,golc_2020_06_20_1701547
24,null,https://data.globe.gov/system/photos/2020/06/20/1701553/thumb.jpg,golc_thumb_2020_06_20_1701553,https://data.globe.gov/system/photos/2020/06/20/1701553/original.jpg,golc_2020_06_20_1701553
25,null,https://data.globe.gov/system/photos/2020/06/20/1701559/thumb.jpg,golc_thumb_2020_06_20_1701559,https://data.globe.gov/system/photos/2020/06/20/1701559/original.jpg,golc_2020_06_20_1701559
26,null,https://data.globe.gov/system/photos/2020/06/20/1701565/thumb.jpg,golc_thumb_2020_06_20_1701565,https://data.globe.gov/system/photos/2020/06/20/1701565/original.jpg,golc_2020_06_20_1701565
27,null,https://data.globe.gov/system/photos/2020/06/21/1701667/thumb.jpg,golc_thumb_2020_06_21_1701667,https://data.globe.gov/system/photos/2020/06/21/1701667/original.jpg,golc_2020_06_21_1701667
28,null,https://data.globe.gov/system/photos/2020/06/21/1701690/thumb.jpg,golc_thumb_2020_06_21_1701690,https://data.globe.gov/system/photos/2020/06/21/1701690/original.jpg,golc_2020_06_21_1701690
29,null,https://data.globe.gov/system/photos/2020/06/21/1701696/thumb.jpg,golc_thumb_2020_06_21_1701696,https://data.globe.gov/system/photos/2020/06/21/1701696/original.jpg,golc_2020_06_21_1701696
30,null,https://data.globe.gov/system/photos/2020/06/21/1701717/thumb.jpg,golc_thumb_2020_06_21_1701717,https://data.globe.gov/system/photos/2020/06/21/1701717/original.jpg,golc_2020_06_21_1701717
31,null,https://data.globe.gov/system/photos/2020/06/21/1702933/thumb.jpg,golc_thumb_2020_06_21_1702933,https://data.globe.gov/system/photos/2020/06/21/1702933/original.jpg,golc_2020_06_21_1702933
32,null,https://data.globe.gov/system/photos/2020/06/21/1703021/thumb.jpg,golc_thumb_2020_06_21_1703021,https://data.globe.gov/system/photos/2020/06/21/1703021/original.jpg,golc_2020_06_21_1703021
33,null,https://data.globe.gov/system/photos/2020/06/21/1703317/thumb.jpg,golc_thumb_2020_06_21_1703317,https://data.globe.gov/system/photos/2020/06/21/1703317/original.jpg,golc_2020_06_21_1703317
34,null,https://data.globe.gov/system/photos/2020/06/21/1703027/thumb.jpg,golc_thumb_2020_06_21_1703027,https://data.globe.gov/system/photos/2020/06/21/1703027/original.jpg,golc_2020_06_21_1703027
35,null,https://data.globe.gov/system/photos/2020/06/21/1703033/thumb.jpg,golc_thumb_2020_06_21_1703033,https://data.globe.gov/system/photos/2020/06/21/1703033/original.jpg,golc_2020_06_21_1703033
36,null,https://data.globe.gov/system/photos/2020/06/21/1703009/thumb.jpg,golc_thumb_2020_06_21_1703009,https://data.globe.gov/system/photos/2020/06/21/1703009/original.jpg,golc_2020_06_21_1703009
37,null,https://data.globe.gov/system/photos/2020/06/21/1703046/thumb.jpg,golc_thumb_2020_06_21_1703046,https://data.globe.gov/system/photos/2020/06/21/1703046/original.jpg,golc_2020_06_21_1703046
