OBJECTID,MapperId,MeasuredTime,siteName,elevation,MeasuredLatitude,MeasuredLongitude
43,24730,7/12/20 14:39,18SWJ129120,2.29999995,38.9571991,-74.85089874
44,24728,7/12/20 14:11,18SWJ129120,2.29999995,38.9571991,-74.85099792
45,24811,7/15/20 0:07,18SWJ129120,2.29999995,38.9571991,-74.85099792
46,24813,7/15/20 0:08,18SWJ129120,2.29999995,38.9571991,-74.85099792
47,24815,7/15/20 0:09,18SWJ129120,2.29999995,38.9571991,-74.85109711
48,23967,6/24/20 15:40,18SWJ128120,2,38.95729828,-74.85119629
49,23990,6/30/20 14:14,19QFV942949,20.60000038,18.03479958,-67.16480255
50,23996,6/29/20 20:43,18SUJ057260,91,39.06190109,-77.24530029
51,23995,6/29/20 20:25,18SUJ057260,91,39.06209946,-77.24479675
52,23997,6/29/20 21:00,18SUJ057260,91,39.06200027,-77.24490356
53,23998,6/29/20 21:14,18SUJ059258,81.30000305,39.0603981,-77.24240112
54,23999,6/29/20 21:48,18SUJ059258,81.30000305,39.06010056,-77.24240112
55,24016,6/30/20 19:40,16TDM127727,250.6000061,42.20220184,-88.05690002
56,24024,6/30/20 19:51,16TDM128725,245.3999939,42.20000076,-88.05599976
57,24031,6/30/20 20:30,19QFV956938,26.799999239999998,18.02420044,-67.15229797
58,24361,7/7/20 17:54,19QFV956938,26.799999239999998,18.02389908,-67.15229797
59,24074,6/26/20 19:07,14RNT513614,226.3999939,29.4817009,-98.4701004
60,24739,7/11/20 18:37,14RNT513612,225.6000061,29.47999954,-98.47049713
61,24731,7/11/20 17:35,14RNT513612,225.6000061,29.47999954,-98.47059631
62,24733,7/11/20 18:10,14RNT513612,225.6000061,29.48010063,-98.47059631
63,24676,7/11/20 19:26,14RNT513612,225.6000061,29.47999954,-98.47039795
64,25027,7/18/20 18:35,14RNT513612,225.6000061,29.48010063,-98.47059631
65,25038,7/18/20 18:56,14RNT513612,225.6000061,29.48010063,-98.47059631
66,25045,7/18/20 20:10,14RNT513612,225.6000061,29.48010063,-98.47059631
67,25042,7/18/20 19:25,14RNT513612,225.6000061,29.47999954,-98.47059631
68,25026,7/19/20 22:45,14RNT513612,225.6000061,29.48010063,-98.47059631
69,25126,7/25/20 21:16,14RNT513612,225.6000061,29.47999954,-98.47049713
70,24126,7/1/20 21:19,18SWJ123116,0.80000001,38.9538002,-74.85700226
71,24129,7/2/20 1:27,15RTN531721,17,29.55450058,-95.54720306
72,24132,7/2/20 1:29,15RTN528724,21.299999239999998,29.55750084,-95.55110168
73,24128,7/2/20 1:21,15RTN512715,21.200000760000002,29.5489006,-95.56739807
74,24142,7/2/20 18:34,15RTN512715,21.200000760000002,29.5489006,-95.56739807
75,24135,7/2/20 17:35,16SGC522389,290,33.76060104,-84.27629852
76,24137,7/2/20 17:49,16SGC505385,303.2000122,33.75780106,-84.29509735
77,24155,7/3/20 1:14,15RTN653970,16.39999962,29.78190041,-95.42690277
78,24154,7/3/20 1:13,15RTN653970,16.39999962,29.78190041,-95.42700195
79,24272,7/6/20 0:51,15RTN653970,16.39999962,29.78190041,-95.42690277
80,24367,7/7/20 18:00,19QFV953938,11.19999981,18.02389908,-67.15460205
81,24261,6/10/20 15:10,17TLH209161,237.3999939,42.5768013,-83.1815033
82,24264,7/6/20 0:34,15RTN652970,16.700000760000002,29.78120041,-95.42819977
83,24289,7/6/20 10:57,18STG645523,85.59999847,37.48830032,-77.66320038
84,24316,7/6/20 22:44,14RPU057596,248.6000061,30.36429977,-97.89949799
85,24321,7/7/20 14:11,19QFV954939,15.30000019,18.02540016,-67.15409851
86,24324,7/7/20 14:45,16SGH206038,287.7999878,37.95510101,-84.48860168
87,24326,6/30/20 19:55,16TDM013227,214.3999939,41.75090027,-88.18630219
88,24329,6/30/20 20:30,16TDM020242,207.3999939,41.76380157,-88.17829895
89,24333,7/7/20 14:00,16TDM013228,213.3999939,41.75130081,-88.18630219
90,24334,7/7/20 14:04,16TDM013228,213.3999939,41.75170135,-88.18669891
91,24960,7/14/20 20:08,16TDM013228,213.3999939,41.75180054,-88.18669891
92,24965,7/21/20 15:21,16TDM013228,213.3999939,41.75099945,-88.18669891
93,24966,7/21/20 15:24,16TDM013228,213.3999939,41.75159836,-88.18669891
94,24368,7/7/20 15:22,16SGH195043,284.1000061,37.96020126,-84.50060272
95,24385,6/7/20 23:15,18TVN957017,369,42.46780014,-75.05190277
96,24700,7/14/20 23:36,18TVN957017,369,42.46780014,-75.05149841
97,24424,7/8/20 1:55,14RPU068594,250.1000061,30.36219978,-97.88770294
98,24450,7/4/20 19:00,14RNT512613,225.5,29.48040009,-98.47160339
99,24452,7/4/20 18:47,14RNT513613,224.1000061,29.48060036,-98.4701004
100,24451,7/4/20 19:21,14RNT513613,224.1000061,29.48060036,-98.4701004
101,24463,7/8/20 14:00,14SQB130708,219.6000061,33.15510178,-96.71600342
102,24474,6/26/20 22:37,18TWK291765,23.799999239999998,40.43930054,-74.65670013
103,24478,7/2/20 20:24,18TWK290765,25.89999962,40.43909836,-74.65769958
104,25068,7/9/20 16:30,32UMA779546,142.3999939,50.1432991,8.69099998
105,24501,7/9/20 11:25,32UMA779546,142.3999939,50.1432991,8.69149971
106,24928,7/10/20 16:15,32UMA779546,142.3999939,50.1432991,8.69099998
107,24502,7/9/20 12:00,32UMA778545,143.6000061,50.14279938,8.69040012
108,24531,7/10/20 13:21,32UMA778545,143.6000061,50.14319992,8.69050026
109,24532,7/10/20 14:06,32UMA778545,143.6000061,50.14319992,8.69050026
110,24503,7/9/20 13:51,32UMA778543,143,50.14080048,8.68999958
111,24514,7/7/20 23:36,18TWK488749,35.20000076,40.4233017,-74.42359924
112,24548,7/9/20 22:53,18TWK480746,38.59999847,40.42070007,-74.43340302
113,25138,7/12/20 0:26,18TWK480746,38.59999847,40.42079926,-74.43309784
114,24533,7/10/20 14:26,32UMA775542,137.199997,50.14020157,8.6864996
115,24627,7/13/20 23:58,14RPU075613,269.2999878,30.37899971,-97.88069916
116,22877,6/8/20 1:23,11SLT926780,228.8999939,34.13779831,-118.1643982
117,22875,6/8/20 1:18,11SLT926780,228.8999939,34.13800049,-118.164299
118,22876,6/8/20 1:19,11SLT926780,228.8999939,34.13779831,-118.1643982
119,23091,6/14/20 2:20,11SLT926780,228.8999939,34.13750076,-118.1648026
