OBJECTID,landcoversSouthClassifications,thumbUrl,DownloadThumbPicture,SouthOriginalUrl,DownloadOriginalPicture
51,null,https://data.globe.gov/system/photos/2020/06/21/1703423/thumb.jpg,golc_thumb_2020_06_21_1703423,https://data.globe.gov/system/photos/2020/06/21/1703423/original.jpg,golc_2020_06_21_1703423
52,null,https://data.globe.gov/system/photos/2020/06/21/1704103/thumb.jpg,golc_thumb_2020_06_21_1704103,https://data.globe.gov/system/photos/2020/06/21/1704103/original.jpg,golc_2020_06_21_1704103
53,null,https://data.globe.gov/system/photos/2020/06/21/1704121/thumb.jpg,golc_thumb_2020_06_21_1704121,https://data.globe.gov/system/photos/2020/06/21/1704121/original.jpg,golc_2020_06_21_1704121
54,null,https://data.globe.gov/system/photos/2020/06/21/1704127/thumb.jpg,golc_thumb_2020_06_21_1704127,https://data.globe.gov/system/photos/2020/06/21/1704127/original.jpg,golc_2020_06_21_1704127
55,null,https://data.globe.gov/system/photos/2020/06/21/1704133/thumb.jpg,golc_thumb_2020_06_21_1704133,https://data.globe.gov/system/photos/2020/06/21/1704133/original.jpg,golc_2020_06_21_1704133
56,null,https://data.globe.gov/system/photos/2020/06/21/1704139/thumb.jpg,golc_thumb_2020_06_21_1704139,https://data.globe.gov/system/photos/2020/06/21/1704139/original.jpg,golc_2020_06_21_1704139
57,null,https://data.globe.gov/system/photos/2020/06/21/1704151/thumb.jpg,golc_thumb_2020_06_21_1704151,https://data.globe.gov/system/photos/2020/06/21/1704151/original.jpg,golc_2020_06_21_1704151
58,null,null,null,null,null
59,null,null,null,null,null
60,null,https://data.globe.gov/system/photos/2020/06/21/1704652/thumb.jpg,golc_thumb_2020_06_21_1704652,https://data.globe.gov/system/photos/2020/06/21/1704652/original.jpg,golc_2020_06_21_1704652
61,"50% MUC 92 [Urban, Commercial Property]; 50% MUC 93 [Urban, Roads and Parking]; 50% MUC 91 [Urban, Residential Property]; 10% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]",https://data.globe.gov/system/photos/2020/06/13/1704630/thumb.jpg,golc_thumb_2020_06_13_1704630,https://data.globe.gov/system/photos/2020/06/13/1704630/original.jpg,golc_2020_06_13_1704630
62,null,https://data.globe.gov/system/photos/2020/06/21/1704646/thumb.jpg,golc_thumb_2020_06_21_1704646,https://data.globe.gov/system/photos/2020/06/21/1704646/original.jpg,golc_2020_06_21_1704646
63,null,https://data.globe.gov/system/photos/2020/06/21/1704658/thumb.jpg,golc_thumb_2020_06_21_1704658,https://data.globe.gov/system/photos/2020/06/21/1704658/original.jpg,golc_2020_06_21_1704658
